id,category,subcat,type,developer,model,description,params,characts,price,img,video
Менеджеры компании «ВИДЕОГЛАЗ» помогут вам исключить такие неприятные моменты. Кроме этого, представитель компании «ВИДЕОГЛАЗ» доставляет вам Заказ лично в руки, поэтому проверьте его на работоспособность, комплектность и другие параметры, которые для вас имеют решающее значение. Только после этого оплачивайте товар и расписывайтесь в получении исправного товара. Напоминаем, что Вы можете отказаться от сделки до ее оплаты, но в таком случае Вам необходимо оплатить курьерские расходы в размере 400 рублей и заполнить заявление о возврате, чтобы мы смогли оформить возврат товара в бухгалтерии, т.к. отгрузочные документы уже выписаны на ваше Имя. Спасибо за понимание, мы ценим клиентов и рады, что Вы выбрали компанию «ВИДЕОГЛАЗ»! 

","['Класс защиты', 'IP54', ';', 'Электропитание (В)', '230', ';', 'Ток потребления', '1.3', ';', 'Рабочий цикл (в час)', '', ';', 'Усилие', '320', ';', 'Рабочий цикл (%)', '30', ';', 'Угол открывания (град.)', '90', ';', 'Масса створки (кг)', '800', ';', 'Диапазон рабочей температуры (С)', 'От -20 до +70', ';', 'Максимальная мощность (Вт)', '150', ';', 'Вес (кг)', '14', ';']","001F1000 Привод 230В рычажный самоблокирующийся с шарнирным рычагом передачи. Стальной рычаг привода. 2
002ZF1N Блок управления 1
001AF43RU Радиоприемник встраиваемый 1
001TWIN2 Брелок-передатчик 2-х канальный. Функция "" key code"" 2",42534,img/129080.jpg,no video
129081,Системы контроля доступа,Шлагбаумы и автоматика для ворот,Автоматика для распашных ворот,CAME,CAME FERNI KLED COMBO,"CAME FERNI KLED COMBO - комплект автоматики серии COMBO предназначенный для наружной установки, с блоком управления ZF1 и сигнальной лампой. Привод используется, когда нужно автоматизировать распашные ворота с широкими кирпичными или каменными столбами. Монтаж линейных приводов в таком случае либо невозможен, либо не оправдан, т.к. «доработка» столба потребует большого объема строительных и монтажных работ. Специальная монтажная пластина позволяет устанавливать привод на любую поверхность. Привод может монтироваться на любую створку – и правую и левую, тип привода один. Нет зоны защемления рычагов. Есть возможность регулировать скорость открывания и закрывания ворот. Блок управления изменяет напрвление движения створки ворот при возникновении препятствия.Также предусмотрено замедление движения створок в конце цикла открытия / закрытия. Возможность работы от аккумуляторных батарей (при установке платы резервного питания)Электробезопасность повышена засчет подачи низкого напряжения на двигатель (модель 24В). Привод протестирован на соответствие толкающего усилия движущейся створки по европейским стандартам EN12445 - EN12453. Блоки управления осуществляют контроль за движением створок с помощью энкодера. Привод оснащен самоблокирующимя редуктором. Механизм разблокировки может быть внешним ( дополнительно, H3000 в комплект не входит) или стандартным внутренним, установленным за запираемой на ключ дверцей. Высокая антикоррозийная устойчивость, защищенность от воздействия внешней среды и прочность достигается за счет гальванизации шарнирных рычагов.Комплектация CAME FERNI KLED COMBO001F1000 Привод 230В рычажный самоблокирующийся с шарнирным рычагом передачи. Стальной рычаг привода. 2
002ZF1N Блок управления 1
001AF43RU Радиоприемник встраиваемый 1
001TWIN2 Брелок-передатчик 2-х канальный. Функция "" key code"" 2
001TOP-A433N Антенна 1
001KLED Лампа сигнальная светодиодная 230 В 1Технические характеристики CAME FERNI KLED COMBOБлок управления: ZF1
Ограничение по применению (ширина створки/масса): 2м/800кг, 2,5м/600кг, 3м/500кг, 3,5м/450кг, 4м/400кг
Напряжение питания двигателя: ~220В 50/60Гц
Макс. потребляемый ток: 1,3А
Мощность: 150Вт
Вращающий момент: 320Нм
Интенсивность использования: 30%
Класс защиты: IP54
Время открывания до 90 градусов: 18 сек
Вес: 14 кг
Рабочий диапазон температур: от -20 до +70
Габариты 340х168х178 ммСхема установки CAME FERNI KLED COMBO
Параметры CAME FERNI KLED COMBOКласс защитыIP54Электропитание (В)230Ток потребления1.3Рабочий цикл (в час)Усилие320Рабочий цикл (%)30Угол открывания (град.)90Масса створки (кг)800Диапазон рабочей температуры (С)От -20 до +70Максимальная мощность (Вт)150Вес (кг)14
 

                Похожие товары
            




45441
руб.





                    Привод для ворот CAME FERNI DIR10 COMBO
                

 


46500
руб.





                    Привод для ворот FAAC 412 COMPACT
                

 


52200
руб.





                    Привод для ворот CAME FERNI 40230
                

 


86447
руб.





                    Привод для ворот FAAC 422 CBACS
                

 


96552
руб.





                    Привод для ворот FAAC 400 SB
                




Отзывы о CAME FERNI KLED COMBOДобавить отзыв

>> Пожалуйста, не задавайте здесь вопросов магазину, это форма для ОТЗЫВОВ ПОЛЬЗОВАТЕЛЕЙ ТОВАРА! Мы ценим Ваше время! Коментарии публикуются после модерации<<<
Имя (обязательно)

Комментарий (обязательно)

Отправить
Пока нет коментариев - ваш будет первым.

Уважаемые гости сайта videoglaz.ru, хотим вас предупредить, что все описания товаров на нашем сайте носят информативный характер, но ни в коем случае не являются публичной офертой согласно Статьи 437 п.2 ГК РФ. Чтобы узнать максимально точную информацию о параметрах товара, пожалуйста, обратитесь к менеджеру компании «ВИДЕОГЛАЗ». Это связано с тем, что иногда производители меняют параметры и не ставят нас в известность об этом, из-за этого в момент заказа конкретного товара внешний вид, комплектность или другие параметры могут отличаться от указанных ранее. 
Менеджеры компании «ВИДЕОГЛАЗ» помогут вам исключить такие неприятные моменты. Кроме этого, представитель компании «ВИДЕОГЛАЗ» доставляет вам Заказ лично в руки, поэтому проверьте его на работоспособность, комплектность и другие параметры, которые для вас имеют решающее значение. Только после этого оплачивайте товар и расписывайтесь в получении исправного товара. Напоминаем, что Вы можете отказаться от сделки до ее оплаты, но в таком случае Вам необходимо оплатить курьерские расходы в размере 400 рублей и заполнить заявление о возврате, чтобы мы смогли оформить возврат товара в бухгалтерии, т.к. отгрузочные документы уже выписаны на ваше Имя. Спасибо за понимание, мы ценим клиентов и рады, что Вы выбрали компанию «ВИДЕОГЛАЗ»! 

","['Класс защиты', 'IP54', ';', 'Электропитание (В)', '230', ';', 'Ток потребления', '1.3', ';', 'Рабочий цикл (в час)', '', ';', 'Усилие', '320', ';', 'Рабочий цикл (%)', '30', ';', 'Угол открывания (град.)', '90', ';', 'Масса створки (кг)', '800', ';', 'Диапазон рабочей температуры (С)', 'От -20 до +70', ';', 'Максимальная мощность (Вт)', '150', ';', 'Вес (кг)', '14', ';']","001F1000 Привод 230В рычажный самоблокирующийся с шарнирным рычагом передачи. Стальной рычаг привода. 2
002ZF1N Блок управления 1
001AF43RU Радиоприемник встраиваемый 1
001TWIN2 Брелок-передатчик 2-х канальный. Функция "" key code"" 2
001TOP-A433N Антенна 1
001KLED Лампа сигнальная светодиодная 230 В 1",44424,img/129081.jpg,no video
129082,Системы контроля доступа,Шлагбаумы и автоматика для ворот,Автоматика для распашных ворот,CAME,CAME FERNI DIR10 COMBO,"CAME FERNI DIR10 COMBO - комплект автоматики серии COMBO предназначенный для наружной установки, с блоком управления ZF1 и фотоэлементами. Привод используется, когда нужно автоматизировать распашные ворота с широкими кирпичными или каменными столбами. Монтаж линейных приводов в таком случае либо невозможен, либо не оправдан, т.к. «доработка» столба потребует большого объема строительных и монтажных работ. Специальная монтажная пластина позволяет устанавливать привод на любую поверхность. Привод может монтироваться на любую створку – и правую и левую, тип привода один. Нет зоны защемления рычагов. Есть возможность регулировать скорость открывания и закрывания ворот. Блок управления изменяет напрвление движения створки ворот при возникновении препятствия.Также предусмотрено замедление движения створок в конце цикла открытия / закрытия. Возможность работы от аккумуляторных батарей (при установке платы резервного питания)Электробезопасность повышена засчет подачи низкого напряжения на двигатель (модель 24В). Привод протестирован на соответствие толкающего усилия движущейся створки по европейским стандартам EN12445 - EN12453. Блоки управления осуществляют контроль за движением створок с помощью энкодера. Привод оснащен самоблокирующимя редуктором. Механизм разблокировки может быть внешним ( дополнительно, H3000 в комплект не входит) или стандартным внутренним, установленным за запираемой на ключ дверцей. Высокая антикоррозийная устойчивость, защищенность от воздействия внешней среды и прочность достигается за счет гальванизации шарнирных рычагов.Комплектация CAME FERNI DIR10 COMBO001F1000 Привод 230В рычажный самоблокирующийся с шарнирным рычагом передачи. Стальной рычаг привода. 2
002ZF1N Блок управления 1
001AF43RU Радиоприемник встраиваемый 1
001TWIN2 Брелок-передатчик 2-х канальный. Функция "" key code"" 2
001TOP-A433N Антенна 1
001DIR10 Фотоэлементы / передатчик, приемник / накладные, дальность 10 м 1Технические характеристики CAME FERNI DIR10 COMBOБлок управления: ZF1
Ограничение по применению (ширина створки/масса): 2м/800кг, 2,5м/600кг, 3м/500кг, 3,5м/450кг, 4м/400кг
Напряжение питания двигателя: ~220В 50/60Гц
Макс. потребляемый ток: 1,3А
Мощность: 150Вт
Вращающий момент: 320Нм
Интенсивность использования: 30%
Класс защиты: IP54
Время открывания до 90 градусов: 18 сек
Вес: 14 кг
Рабочий диапазон температур: от -20 до +70
Габариты 340х168х178 ммСхема установки CAME FERNI DIR10 COMBO
Параметры CAME FERNI DIR10 COMBOКласс защитыIP54Электропитание (В)220Ток потребления1.3Рабочий цикл (в час)Усилие320Рабочий цикл (%)30Угол открывания (град.)90Масса створки (кг)800Диапазон рабочей температуры (С)От -20 до +70Максимальная мощность (Вт)150Вес (кг)14
 

                Похожие товары
            




46500
руб.





                    Привод для ворот FAAC 412 COMPACT
                

 


52200
руб.





                    Привод для ворот CAME FERNI 40230
                

 


86447
руб.





                    Привод для ворот FAAC 422 CBACS
                

 


96552
руб.





                    Привод для ворот FAAC 400 SB
                

 


102868
руб.





                    Привод для ворот FAAC 400 CBAC
                




Отзывы о CAME FERNI DIR10 COMBOДобавить отзыв

>> Пожалуйста, не задавайте здесь вопросов магазину, это форма для ОТЗЫВОВ ПОЛЬЗОВАТЕЛЕЙ ТОВАРА! Мы ценим Ваше время! Коментарии публикуются после модерации<<<
Имя (обязательно)

Комментарий (обязательно)

Отправить
Пока нет коментариев - ваш будет первым.

Уважаемые гости сайта videoglaz.ru, хотим вас предупредить, что все описания товаров на нашем сайте носят информативный характер, но ни в коем случае не являются публичной офертой согласно Статьи 437 п.2 ГК РФ. Чтобы узнать максимально точную информацию о параметрах товара, пожалуйста, обратитесь к менеджеру компании «ВИДЕОГЛАЗ». Это связано с тем, что иногда производители меняют параметры и не ставят нас в известность об этом, из-за этого в момент заказа конкретного товара внешний вид, комплектность или другие параметры могут отличаться от указанных ранее. 
Менеджеры компании «ВИДЕОГЛАЗ» помогут вам исключить такие неприятные моменты. Кроме этого, представитель компании «ВИДЕОГЛАЗ» доставляет вам Заказ лично в руки, поэтому проверьте его на работоспособность, комплектность и другие параметры, которые для вас имеют решающее значение. Только после этого оплачивайте товар и расписывайтесь в получении исправного товара. Напоминаем, что Вы можете отказаться от сделки до ее оплаты, но в таком случае Вам необходимо оплатить курьерские расходы в размере 400 рублей и заполнить заявление о возврате, чтобы мы смогли оформить возврат товара в бухгалтерии, т.к. отгрузочные документы уже выписаны на ваше Имя. Спасибо за понимание, мы ценим клиентов и рады, что Вы выбрали компанию «ВИДЕОГЛАЗ»! 

","['Класс защиты', 'IP54', ';', 'Электропитание (В)', '220', ';', 'Ток потребления', '1.3', ';', 'Рабочий цикл (в час)', '', ';', 'Усилие', '320', ';', 'Рабочий цикл (%)', '30', ';', 'Угол открывания (град.)', '90', ';', 'Масса створки (кг)', '800', ';', 'Диапазон рабочей температуры (С)', 'От -20 до +70', ';', 'Максимальная мощность (Вт)', '150', ';', 'Вес (кг)', '14', ';']","001F1000 Привод 230В рычажный самоблокирующийся с шарнирным рычагом передачи. Стальной рычаг привода. 2
002ZF1N Блок управления 1
001AF43RU Радиоприемник встраиваемый 1
001TWIN2 Брелок-передатчик 2-х канальный. Функция "" key code"" 2
001TOP-A433N Антенна 1
001DIR10 Фотоэлементы / передатчик, приемник / накладные, дальность 10 м 1",45441,img/129082.jpg,no video
129083,Системы контроля доступа,Шлагбаумы и автоматика для ворот,Автоматика для распашных ворот,CAME,CAME FERNI+ COMBO,,"['Класс защиты', 'IP54', ';', 'Электропитание (В)', '220', ';', 'Ток потребления', '1.3', ';', 'Рабочий цикл (в час)', '', ';', 'Усилие', '320', ';', 'Рабочий цикл (%)', '30', ';', 'Угол открывания (град.)', '90', ';', 'Масса створки (кг)', '800', ';', 'Диапазон рабочей температуры (С)', 'От -20 до +70', ';', 'Максимальная мощность (Вт)', '150', ';', 'Вес (кг)', '14', ';']","Блок управления: ZF1
Ограничение по применению (ширина створки/масса): 2м/800кг, 2,5м/600кг, 3м/500кг, 3,5м/450кг, 4м/400кг
Напряжение питания двигателя: ~220В 50/60Гц
Макс. потребляемый ток: 1,3А
Мощность: 150Вт
Вращающий момент: 320Нм
Интенсивность использования: 30%
Класс защиты: IP54
Время открывания до 90 градусов: 18 сек
Вес: 14 кг
Рабочий диапазон температур: от -20 до +70
Габариты 340х168х178 мм",Товар снят с продажи. К заказу недоступен,img/129083.jpg,no video
129084,Системы контроля доступа,Шлагбаумы и автоматика для ворот,Автоматика для откатных ворот,CAME,CAME BX-243 COMBO,"CAME BX-243 COMBO автоматический привод серии COMBO был разработан для откатных ворот. Данная автоматика является самой надежной в выпускаемой серии. Привод оснащен механическими концевыми выключателями. Он лучшим образом подойдет для небольших откатных ворот, где требуется высокая интенсивность использования. Встроенная функция самодиагностики вовремя предупредит вас о поломке или необходимости диагностики. Мощный в своем роде, Автоматика рассчитана на питание от сети переменного тока, а сам двигатель работает от постоянного тока с максимальным потреблением в 7 ампер. Блок управления расположен горизонтально, что упрощает процесс подключение и настройки привода. Есть возможность подключения электронной платы LB90 для двух аккумуляторных батарей на 12 вольт 1.2Aч для бесперебойной работы двигателя в случае отключения электричества. Система контроля и определения помех в проеме не позволит повредить автомобиль. Привод отлично работает в непогоду или при низких температурах. Для привода подойдут рейки 3 типов: CGZ, CGZP и CGZS. Легкий и понятный монтаж двигателя. Привод прост в эксплуатации и в любой момент его можно переключить в ручной режим при помощи специального уникального ключа, который поставляется к каждому комплекту. Лучшим образом подойдёт для автоматизации ворот на даче или дома.",[],"Встроенный блок управления ZN2;
Совершенно новый дизайн;
Высокая интенсивность использования;
Постоянный контроль работоспособности фотоэлементов;
Частичное открытие створки ворот;
Возможность использования системы резервного электропитания для бесперебойной работы.",17640,img/129084.jpg,no video
129085,Системы контроля доступа,Шлагбаумы и автоматика для ворот,Автоматика для откатных ворот,CAME,CAME BX-243 KLED COMBO,"CAME BX-243 KLED COMBO комплект автоматического привода серии COMBO и сигнальной светодиодной лампы KLED, который был разработан для откатных ворот. Данная автоматика является самой надежной в выпускаемой серии. Привод оснащен механическими концевыми выключателями. Он лучшим образом подойдет для небольших откатных ворот, где требуется высокая интенсивность использования. Встроенная функция самодиагностики вовремя предупредит вас о поломке или необходимости диагностики. Мощный в своем роде, Автоматика рассчитана на питание от сети переменного тока, а сам двигатель работает от постоянного тока с максимальным потреблением в 7 ампер. Блок управления расположен горизонтально, что упрощает процесс подключение и настройки привода. Есть возможность подключения электронной платы LB90 для двух аккумуляторных батарей на 12 вольт 1.2Aч для бесперебойной работы двигателя в случае отключения электричества. Система контроля и определения помех в проеме не позволит повредить автомобиль. Привод отлично работает в непогоду или при низких температурах. Для привода подойдут рейки 3 типов: CGZ, CGZP и CGZS. Легкий и понятный монтаж двигателя. Привод прост в эксплуатации и в любой момент его можно переключить в ручной режим при помощи специального уникального ключа, который поставляется к каждому комплекту. Лучшим образом подойдёт для автоматизации ворот на даче или дома.",[],"Встроенный блок управления ZN2;
Совершенно новый дизайн;
Высокая интенсивность использования;
Постоянный контроль работоспособности фотоэлементов;
Частичное открытие створки ворот;
Возможность использования системы резервного электропитания для бесперебойной работы.",19971,img/129085.jpg,no video
129086,Системы контроля доступа,Шлагбаумы и автоматика для ворот,Автоматика для откатных ворот,CAME,CAME BX-243 DIR10 COMBO,"CAME BX-243 DIR10 COMBO комплект автоматического привода серии COMBO и фотоэлементов дальностью до 10 метров, который был разработан для откатных ворот. Данная автоматика является самой надежной в выпускаемой серии. Привод оснащен механическими концевыми выключателями. Он лучшим образом подойдет для небольших откатных ворот, где требуется высокая интенсивность использования. Встроенная функция самодиагностики вовремя предупредит вас о поломке или необходимости диагностики. Мощный в своем роде, Автоматика рассчитана на питание от сети переменного тока, а сам двигатель работает от постоянного тока с максимальным потреблением в 7 ампер. Блок управления расположен горизонтально, что упрощает процесс подключение и настройки привода. Есть возможность подключения электронной платы LB90 для двух аккумуляторных батарей на 12 вольт 1.2Aч для бесперебойной работы двигателя в случае отключения электричества. Система контроля и определения помех в проеме не позволит повредить автомобиль. Привод отлично работает в непогоду или при низких температурах. Для привода подойдут рейки 3 типов: CGZ, CGZP и CGZS. Легкий и понятный монтаж двигателя. Привод прост в эксплуатации и в любой момент его можно переключить в ручной режим при помощи специального уникального ключа, который поставляется к каждому комплекту. Лучшим образом подойдёт для автоматизации ворот на даче или дома.",[],"Встроенный блок управления ZN2;
Совершенно новый дизайн;
Высокая интенсивность использования;
Постоянный контроль работоспособности фотоэлементов;
Частичное открытие створки ворот;
Возможность использования системы резервного электропитания для бесперебойной работы.",20547,img/129086.jpg,no video
129087,Системы контроля доступа,Шлагбаумы и автоматика для ворот,Автоматика для откатных ворот,CAME,CAME BX-243+ COMBO,,[],"001BX-243 Привод 24В самоблокирующийся для откатных ворот. Встроенный блок управления ZN2 1
001AF43SR Радиоприёмник встраиваемый с динамическим кодом для 001AT02, 001AT04 1
001AT02EV Брелок-передатчик 2-х канальный с динамическим кодом 2
001TOP-A433N Антенна 1
001DIR10 Фотоэлементы / передатчик, приемник / накладные, дальность 10 м 1",Товар снят с продажи. К заказу недоступен,img/129087.jpg,no video
